,id,food_entity,disease_entity,sentence,disease_doid,is_cause,is_treat,work_sentence
570,570,salt,nutritional reformulation,"among nutritional reformulation strategies, reductions in caloric density, salt, added sugar, saturated and trans-fats",,1.0,0.0,"among nutritional reformulation strategies, reductions in caloric density, salt, added sugar, saturated and trans-fats"
571,571,milk consumption,knee osteoarthritis,showed inverse associations between milk consumption and knee osteoarthritis (knee oa,,0.0,1.0,showed inverse associations between milk consumption and knee osteoarthritis (knee oa
572,572,mediterranean diet,bone disease,mediterranean diet (md) has shown to prevent bone disease,DOID:0080001,0.0,1.0,mediterranean diet (md) has shown to prevent bone disease
573,573,functional foods,pathogenic viral infections,"functional foods optimize the immune system capacity to prevent and control pathogenic viral infections, while physical activity augments such",DOID:934,0.0,1.0,"functional foods optimize the immune system capacity to prevent and control pathogenic viral infections, while physical activity augments such"
574,574,milk,fracture,of 200-250 ml of milk is associated with a reduction in fracture risk of % or higher,,0.0,1.0,of 200-250 ml of milk is associated with a reduction in fracture risk of % or higher
575,575,olive oil,cancers,"of certain types of cancers and cvds, where olive oil plays an important role",DOID:162,0.0,1.0,"of certain types of cancers and cvds, where olive oil plays an important role"
576,576,rice,allergy,"in rice allergy, proteins with molecular masses of",,1.0,0.0,"in rice allergy, proteins with molecular masses of"
577,577,fish,ischemic heart disease,"low mortality rates from ischemic heart disease and cancer are thought to reflect the low prevalence of obesity in japan; low intake of red meat, specifically saturated fatty acids; and high intakes of fish, specifically n-3 polyunsaturated fatty acids",,0.0,1.0,"low mortality rates from ischemic heart disease and cancer are thought to reflect the low prevalence of obesity in japan; low intake of red meat, specifically saturated fatty acids; and high intakes of fish, specifically n-3 polyunsaturated fatty acids"
578,578,trans-fatty acids,noncommunicable diseases,"a high intake of trans-fatty acids (tfas), a major dietary risk factor of noncommunicable diseases (ncds",,1.0,0.0,"a high intake of trans-fatty acids (tfas), a major dietary risk factor of noncommunicable diseases (ncds"
579,579,fruit of terminalia chebula,ailments,"the fruit of terminalia chebula has been used extensively in various traditional health systems for different ailments, with additional preclinical and clinical",,0.0,1.0,"the fruit of terminalia chebula has been used extensively in various traditional health systems for different ailments, with additional preclinical and clinical"
580,580,grape seed proanthocyanidin extract (gspe),hypertension,the development of hypertension (htn) in cafeteria (caf) diet-fed rats was demonstrated to be attenuated after grape seed proanthocyanidin extract (gspe) administration,DOID:10763,0.0,1.0,the development of hypertension (htn) in cafeteria (caf) diet-fed rats was demonstrated to be attenuated after grape seed proanthocyanidin extract (gspe) administration
581,581,crushed garlic,colon cancer,"containing compound isolated from crushed garlic, as an inhibitor of colon cancer cell growth",DOID:219,0.0,1.0,"containing compound isolated from crushed garlic, as an inhibitor of colon cancer cell growth"
582,582,oats,chronic diseases,oats products are believed to contain many bioactives that possess potential beneficial properties against chronic diseases,,0.0,1.0,oats products are believed to contain many bioactives that possess potential beneficial properties against chronic diseases
583,583,human milk,cow's milk protein allergy (cmpa),"to its similarity with human milk and its low allergenic properties, donkey milk has long been used as an alternative for infants and patients with cow's milk protein allergy (cmpa)",,0.0,0.0,"to its similarity with human milk and its low allergenic properties, donkey milk has long been used as an alternative for infants and patients with cow's milk protein allergy (cmpa)"
584,584,yogurt,human disease,use of milk and yogurt could prevent a high proportion of human disease,,0.0,1.0,use of milk and yogurt could prevent a high proportion of human disease
585,585,tea consumption,alzheimer disease,"srr: 0.72; 95% ci: 0.59, 0.89; n = 6) and alzheimer disease, as well as for tea consumption and all-cause dementia (srr: 0.74; 95% ci",,0.0,0.0,"srr: 0.72; 95% ci: 0.59, 0.89; n = 6) and alzheimer disease, as well as for tea consumption and all-cause dementia (srr: 0.74; 95% ci"
586,586,dietary virgin olive oil,hypoxia,recent studies suggest that dietary virgin olive oil reduces hypoxia,,0.0,1.0,recent studies suggest that dietary virgin olive oil reduces hypoxia
587,587,garlic,asthma,"food industry workers) and asthma or rhinitis was diagnosed as caused by cereal flour or grain, cow epithelium, storage mites, garlic, or soy dust",DOID:2841,1.0,0.0,"food industry workers) and asthma or rhinitis was diagnosed as caused by cereal flour or grain, cow epithelium, storage mites, garlic, or soy dust"
588,588,ginger,human diseases,"natural products, such as ginger, curcumin, and gingko biloba have been used as diets and dietary supplements to treat human diseases, including cancer, cardiovascular, respiratory, infectious",,0.0,1.0,"natural products, such as ginger, curcumin, and gingko biloba have been used as diets and dietary supplements to treat human diseases, including cancer, cardiovascular, respiratory, infectious"
589,589,dairy products,obesity,"efficiency of milk and dairy products in treatment of obesity, sclerosis and hypertension has been",DOID:9970,0.0,1.0,"efficiency of milk and dairy products in treatment of obesity, sclerosis and hypertension has been"
590,590,milk,hip fracture,a detrimental effect of milk on the risk of hip fracture,,0.0,1.0,a detrimental effect of milk on the risk of hip fracture
591,591,sodium consumption,chronic disease,"population-level strategies to reduce sodium consumption, such as food product reformulation, modifying food procurement processes, and federal healthy eating policies, are important public health initiatives that can produce meaningful reductions in sodium consumption and help to prevent chronic disease in adulthood",,1.0,0.0,"population-level strategies to reduce sodium consumption, such as food product reformulation, modifying food procurement processes, and federal healthy eating policies, are important public health initiatives that can produce meaningful reductions in sodium consumption and help to prevent chronic disease in adulthood"
592,592,ginkgo biloba,mci,"e (one study, n 516), ginkgo biloba (one study, n 482) or fortasyn connect (one study, n 311) had no significant effect on progression from mci to dementia and/or ad",,0.0,0.0,"e (one study, n 516), ginkgo biloba (one study, n 482) or fortasyn connect (one study, n 311) had no significant effect on progression from mci to dementia and/or ad"
593,593,beans,diabetic,"common beans have been associated with anti-diabetic effects, due to its high",,0.0,1.0,"common beans have been associated with anti-diabetic effects, due to its high"
594,594,limanda limanda,ulcerations,salmonicida was isolated from ulcerations in common dab (limanda limanda,,0.0,0.0,salmonicida was isolated from ulcerations in common dab (limanda limanda
595,595,coffee consumption,chronic diseases,"coffee consumption has been associated with a significant decrease in the risk of developing chronic diseases such as parkinson disease, diabetes",,0.0,1.0,"coffee consumption has been associated with a significant decrease in the risk of developing chronic diseases such as parkinson disease, diabetes"
596,596,peas,cardiovascular disease,"pulses, including peas, are a good source of protein, dietary fiber, folic acid, and iron and are reported to reduce the risk for cardiovascular disease and diabetes",,0.0,1.0,"pulses, including peas, are a good source of protein, dietary fiber, folic acid, and iron and are reported to reduce the risk for cardiovascular disease and diabetes"
597,597,olive oil),cardiovascular disease,is rich in virgin olive oil) decreases the risk of cardiovascular disease,,0.0,1.0,is rich in virgin olive oil) decreases the risk of cardiovascular disease
